Roll 1: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16593: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16594: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 16595: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 16596: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 16597: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16598: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16599: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16600: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16601: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16602: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16603: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16604: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16605: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16606: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16607: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16608: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16609: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16610: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16611: 1 × T7 | R%: 0.076% (1 in 1.31×10^3) | 6431.43 ★
Roll 16612: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16613: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16614: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16615: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16616: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16617: (+5/8) 3 × T1 | R%: 1.543% (1 in 64.792) | 24.0 ★ [+16.0]
Roll 16618: (+8/10) 2 × T1 | R%: 9.26% (1 in 10.799) | 18.9 ★ [+14.4]
Roll 16619: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 16620: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16621: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16622: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16623: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16624: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 16625: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16626: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16627: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16628: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16629: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16630: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16631: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16632: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16633: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16634: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 16635: (+2/3) 1 × T3 | R%: 6.174% (1 in 16.198) | 72.68 ★ [+32.3]
Roll 16636: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16637: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16638: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16639: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16640: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16641: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16642: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 16643: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16644: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16645: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16646: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16647: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16648: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16649: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16650: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16651: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16652: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16653: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16654: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16655: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16656: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16657: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16658: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16659: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16660: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16661: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16662: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16663: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16664: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16665: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16666: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 16667: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16668: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16669: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 16670: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16671: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16672: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16673: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16674: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16675: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16676: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16677: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16678: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16679: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16680: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16681: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 16682: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 16683: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16684: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16685: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16686: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16687: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16688: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16689: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16690: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16691: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16692: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16693: (+1/2) 1 × T3 | R%: 6.174% (1 in 16.198) | 56.53 ★ [+16.15]
Roll 16694: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16695: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16696: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16697: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16698: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16699: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16700: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16701: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16702: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16703: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16704: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 16705: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 16706: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16707: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16708: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16709: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16710: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16711: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16712: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16713: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16714: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16715: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16716: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16717: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16718: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16719: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 16720: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16721: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16722: (+6/8) 2 × T1 | R%: 9.26% (1 in 10.799) | 15.3 ★ [+10.8]
Roll 16723: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16724: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16725: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16726: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16727: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16728: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16729: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16730: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16731: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16732: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16733: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16734: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16735: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16736: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 16737: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16738: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 16739: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 16740: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16741: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16742: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16743: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16744: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16745: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16746: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16747: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16748: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16749: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16750: (+3/5) 2 × T1 | R%: 9.26% (1 in 10.799) | 9.9 ★ [+5.4]
Roll 16751: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16752: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16753: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16754: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16755: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16756: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16757: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16758: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 16759: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16760: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 16761: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 16762: (+9/10) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.6 ★ [+3.6]
Roll 16763: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 16764: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16765: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16766: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16767: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16768: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16769: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16770: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16771: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16772: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16773: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16774: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16775: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16776: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16777: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 16778: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16779: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16780: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16781: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16782: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16783: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16784: 1 × T6 | R%: 0.229% (1 in 437.344) | 1835.77 ★
Roll 16785: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16786: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16787: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16788: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16789: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16790: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16791: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16792: (+2/3) 1 × T2 | R%: 18.521% (1 in 5.399) | 17.55 ★ [+7.8]
Roll 16793: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16794: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16795: 1 × T5 | R%: 0.686% (1 in 145.781) | 522.72 ★
Roll 16796: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16797: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16798: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16799: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16800: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16801: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 16802: (+2/3) 1 × T3 | R%: 6.174% (1 in 16.198) | 72.68 ★ [+32.3]
Roll 16803: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16804: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16805: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16806: (+2/6) 4 × T2 | R%: 0.086% (1 in 1.17×10^3) | 83.7 ★ [+37.2]
Roll 16807: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16808: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16809: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16810: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16811: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16812: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16813: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16814: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16815: 2 × T3 | R%: 1.029% (1 in 97.187) | 83.26 ★
Roll 16816: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16817: (+1/3) 2 × T2 | R%: 3.087% (1 in 32.396) | 30.8 ★ [+8.8]
Roll 16818: (+3/4) 1 × T2 | R%: 18.521% (1 in 5.399) | 21.45 ★ [+11.7]
Roll 16819: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16820: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16821: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16822: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16823: (+1/2) 1 × T3 | R%: 6.174% (1 in 16.198) | 56.53 ★ [+16.15]
Roll 16824: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16825: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16826: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16827: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16828: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16829: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16830: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16831: (+6/8) 2 × T1 | R%: 9.26% (1 in 10.799) | 15.3 ★ [+10.8]
Roll 16832: (+8/9) 1 × T1 | R%: 55.563% (1 in 1.8) | 4.2 ★ [+3.2]
Roll 16833: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16834: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16835: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16836: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16837: (+1/3) 2 × T1 | R%: 9.26% (1 in 10.799) | 6.3 ★ [+1.8]
Roll 16838: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16839: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16840: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16841: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16842: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 16843: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16844: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16845: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16846: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16847: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16848: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16849: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16850: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16851: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16852: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16853: 2 × T1 | R%: 9.26% (1 in 10.799) | 4.5 ★
Roll 16854: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16855: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16856: (+4/6) 2 × T1 | R%: 9.26% (1 in 10.799) | 11.7 ★ [+7.2]
Roll 16857: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16858: (+7/8) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.8 ★ [+2.8]
Roll 16859: (+8/10) 2 × T1 | R%: 9.26% (1 in 10.799) | 18.9 ★ [+14.4]
Roll 16860: (+10/11) 1 × T1 | R%: 55.563% (1 in 1.8) | 5.0 ★ [+4.0]
Roll 16861: (+11/13) 2 × T1 | R%: 9.26% (1 in 10.799) | 24.3 ★ [+19.8]
Roll 16862: (+13/14) 1 × T1 | R%: 55.563% (1 in 1.8) | 6.2 ★ [+5.2]
Roll 16863: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16864: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16865: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16866: 1 × T4 | R%: 2.058% (1 in 48.594) | 147.56 ★
Roll 16867: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16868: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16869: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16870: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16871: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16872: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16873: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16874: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16875: (+2/4) 2 × T1 | R%: 9.26% (1 in 10.799) | 8.1 ★ [+3.6]
Roll 16876: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16877: (+5/6) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.0 ★ [+2.0]
Roll 16878: (+6/7) 1 × T1 | R%: 55.563% (1 in 1.8) | 3.4 ★ [+2.4]
Roll 16879: 2 × T2 | R%: 3.087% (1 in 32.396) | 22.0 ★
Roll 16880: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16881: (+1/2) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.4 ★ [+0.4]
Roll 16882: (+2/3) 1 × T1 | R%: 55.563% (1 in 1.8) | 1.8 ★ [+0.8]
Roll 16883: (+3/4) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.2 ★ [+1.2]
Roll 16884: (+4/5) 1 × T1 | R%: 55.563% (1 in 1.8) | 2.6 ★ [+1.6]
Roll 16885: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16886: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
Roll 16887: 1 × T2 | R%: 18.521% (1 in 5.399) | 9.75 ★
Roll 16888: (+1/2) 1 × T2 | R%: 18.521% (1 in 5.399) | 13.65 ★ [+3.9]
Roll 16889: 1 × T1 | R%: 55.563% (1 in 1.8) | 1.0 ★
Roll 16890: 1 × T3 | R%: 6.174% (1 in 16.198) | 40.38 ★
